"L [mm]","Freq [GHz]","re(Z(1,1)) []"
5,1,0.142080401702501
5,1.04522613065327,0.138841132462026
5,1.09045226130653,0.136162890442035
5,1.1356783919598,0.133970455516463
5,1.18090452261307,0.132203603136056
5,1.22613065326633,0.130813933252609
5,1.2713567839196,0.129762482721161
5,1.31658291457286,0.129017910668755
5,1.36180904522613,0.128555108265476
5,1.4070351758794,0.128354126722651
5,1.45226130653266,0.128399346765271
5,1.49748743718593,0.128678833526301
5,1.5427135678392,0.129183835559292
5,1.58793969849246,0.129908397304154
5,1.63316582914573,0.130849062109465
5,1.67839195979899,0.132004648654875
5,1.72361809045226,0.133376087914317
5,1.76884422110553,0.134966311063002
5,1.81407035175879,0.136780181245686
5,1.85929648241206,0.138824464100475
5,1.90452261306533,0.141107833520931
5,1.94974874371859,0.143640910450892
5,1.99497487437186,0.146436333629369
5,2.04020100502513,0.149508862198592
5,2.08542713567839,0.152875511015162
5,2.13065326633166,0.15655572040349
5,2.17587939698492,0.16057156300637
5,2.22110552763819,0.164947991356093
5,2.26633165829146,0.169713130851872
5,2.31155778894472,0.174898624027209
5,2.35678391959799,0.180540033373595
5,2.40201005025126,0.186677311608593
5,2.44723618090452,0.193355350207757
5,2.49246231155779,0.20062461934166
5,2.53768844221106,0.208541915177062
5,2.58291457286432,0.217171233946621
5,2.62814070351759,0.226584796429391
5,2.67336683417085,0.236864251732406
5,2.71859296482412,0.248102095795867
5,2.76381909547739,0.260403348224406
5,2.80904522613065,0.273887541344742
5,2.85427135678392,0.288691088430404
5,2.89949748743719,0.304970114642794
5,2.94472361809045,0.322903855520549
5,2.98994974874372,0.342698755294062
5,3.03517587939699,0.364593432926201
5,3.08040201005025,0.388864730347573
5,3.12562814070352,0.415835118667426
5,3.17085427135678,0.445881819497409
5,3.21608040201005,0.479448107360363
5,3.26130653266332,0.517057406011355
5,3.30653266331658,0.559330991486686
5,3.35175879396985,0.607010389707091
5,3.39698492462312,0.660985938597272
5,3.44221105527638,0.722333521606902
5,3.48743718592965,0.792362242962977
5,3.53266331658291,0.872676914481053
5,3.57788944723618,0.965260829185954
5,3.62311557788945,1.07258667622173
5,3.66834170854271,1.19776703475767
5,3.71356783919598,1.34476137631486
5,3.75879396984925,1.51866508379097
5,3.80402010050251,1.72611967990978
5,3.84924623115578,1.97590579421314
5,3.89447236180905,2.27981779526126
5,3.93969849246231,2.65398342493183
5,3.98492462311558,3.12090627276858
5,4.03015075376884,3.71271986490315
5,4.07537688442211,4.47654680185142
5,4.12060301507538,5.4836695963923
5,4.16582914572864,6.84594457303499
5,4.21105527638191,8.7467869128661
5,4.25628140703518,11.5035490482164
5,4.30150753768844,15.7034693945807
5,4.34673366834171,22.5312806903521
5,4.39195979899498,34.669842129591
5,4.43718592964824,59.2674456212971
5,4.48241206030151,120.69090949526
5,4.52763819095477,344.32103596199
5,4.57286432160804,1791.85639941688
5,4.61809045226131,921.405031039609
5,4.66331658291457,230.735985681778
5,4.70854271356784,98.3967222303697
5,4.75376884422111,54.2211558368522
5,4.79899497487437,34.4143397614191
5,4.84422110552764,23.8639353587283
5,4.8894472361809,17.5763688487012
5,4.93467336683417,13.5216001121886
5,4.97989949748744,10.7491555107992
5,5.0251256281407,8.76594924632645
5,5.07035175879397,7.29544457446897
5,5.11557788944724,6.17275886733275
5,5.1608040201005,5.29461072213747
5,5.20603015075377,4.59362984397618
5,5.25125628140704,4.02436067374406
5,5.2964824120603,3.55524738712678
5,5.34170854271357,3.16384558587231
5,5.38693467336683,2.83385509165461
5,5.4321608040201,2.55322124959992
5,5.47738693467337,2.31288472500141
5,5.52261306532663,2.10593682353066
5,5.5678391959799,1.92703535122842
5,5.61306532663317,1.7719921524486
5,5.65829145728643,1.63747658662215
5,5.7035175879397,1.52079925591972
5,5.74874371859296,1.41975267932437
5,5.79396984924623,1.33249336328109
5,5.8391959798995,1.25745461376659
5,5.88442211055276,1.19328253799888
5,5.92964824120603,1.13878966642769
5,5.9748743718593,1.09292192002621
5,6.02010050251256,1.05473553589181
5,6.06532663316583,1.02338122419074
5,6.1105527638191,0.998093366529679
5,6.15577889447236,0.978182533221058
5,6.20100502512563,0.963030014263844
5,6.24623115577889,0.952083427181415
5,6.29145728643216,0.944852778042974
5,6.33668341708543,0.940906604481721
5,6.38190954773869,0.939868020109567
5,6.42713567839196,0.941410612391224
5,6.47236180904523,0.945254228893156
5,6.51758793969849,0.951160730247671
5,6.56281407035176,0.958929802985741
5,6.60804020100502,0.968394921439641
5,6.65326633165829,0.97941953327512
5,6.69849246231156,0.991893523915192
5,6.74371859296483,1.00572999525402
5,6.78894472361809,1.02086237609501
5,6.83417085427136,1.03724186691977
5,6.87939698492462,1.05483521028489
5,6.92462311557789,1.07362277020781
5,6.96984924623116,1.09359689891023
5,7.01507537688442,1.11476056668849
5,7.06030150753769,1.13712622992019
5,7.10552763819096,1.16071491279133
5,7.15075376884422,1.18555547981138
5,7.19597989949749,1.21168407824241
5,7.24120603015075,1.23914373194373
5,7.28643216080402,1.26798407064551
5,7.33165829145729,1.29826118118714
5,7.37688442211055,1.33003756971336
5,7.42211055276382,1.36338222616809
5,7.46733668341709,1.39837078464628
5,7.51256281407035,1.43508577526193
5,7.55778894472362,1.47361696517651
5,7.60301507537688,1.5140617883344
5,7.64824120603015,1.55652586529537
5,7.69346733668342,1.60112361638217
5,7.73869346733668,1.64797897320028
5,7.78391959798995,1.69722619549216
5,7.82914572864322,1.7490108022944
5,7.87437185929648,1.8034906285324
5,7.91959798994975,1.86083702056461
5,7.96482412060301,1.92123618683967
5,8.01005025125628,1.98489072283848
5,8.05527638190955,2.05202133290503
5,8.10050251256281,2.12286877554666
5,8.14572864321608,2.19769606340952
5,8.19095477386935,2.27679095455595
5,8.23618090452261,2.36046877806681
5,8.28140703517588,2.44907564456143
5,8.32663316582915,2.54299210124247
5,8.37185929648241,2.64263730184182
5,8.41708542713568,2.74847377476431
5,8.46231155778895,2.86101288828578
5,8.50753768844221,2.9808211304806
5,8.55276381909548,3.10852734438428
5,8.59798994974875,3.24483108672502
5,8.64321608040201,3.39051231260077
5,8.68844221105528,3.54644263029464
5,8.73366834170854,3.71359842202161
5,8.77889447236181,3.89307619033676
5,8.82412060301507,4.08611056953898
5,8.86934673366834,4.294095540983
5,8.91457286432161,4.51860951640924
5,8.95979899497488,4.76144511162191
5,9.00502512562814,5.0246446339076
5,9.05025125628141,5.31054256354784
5,9.09547738693467,5.6218166401533
5,9.14070351758794,5.96154959199926
5,9.18592964824121,6.33330410323479
5,9.23115577889447,6.74121434394105
5,9.27638190954774,7.19009835250774
5,9.321608040201,7.68559684386385
5,9.36683417085427,8.23434574048283
5,9.41206030150754,8.84419205614237
5,9.4572864321608,9.52446594959074
5,9.50251256281407,10.2863261614232
5,9.54773869346734,11.1432021734334
5,9.5929648241206,12.1113650592886
5,9.63819095477387,13.2106712929177
5,9.68341708542714,14.4655415223818
5,9.7286432160804,15.9062622498568
5,9.77386934673367,17.570736799227
5,9.81909547738693,19.5068697931161
5,9.8643216080402,21.7758577935237
5,9.90954773869347,24.4567962944783
5,9.95477386934673,27.6532310919811
5,10,31.5026338474336
6.01010101010101,1,0.149671637213237
6.01010101010101,1.04522613065327,0.14805776315345
6.01010101010101,1.09045226130653,0.146883959718153
6.01010101010101,1.1356783919598,0.146105909002719
6.01010101010101,1.18090452261307,0.145689730826099
6.01010101010101,1.22613065326633,0.145609910514552
6.01010101010101,1.2713567839196,0.14584775620555
6.01010101010101,1.31658291457286,0.146390246051722
6.01010101010101,1.36180904522613,0.147229167189547
6.01010101010101,1.4070351758794,0.148360476797951
6.01010101010101,1.45226130653266,0.149783835413095
6.01010101010101,1.49748743718593,0.151502276724047
6.01010101010101,1.5427135678392,0.153521988208987
6.01010101010101,1.58793969849246,0.155852184421789
6.01010101010101,1.63316582914573,0.158505060342631
6.01010101010101,1.67839195979899,0.161495816542677
6.01010101010101,1.72361809045226,0.164842751390967
6.01010101010101,1.76884422110553,0.168567418446815
6.01010101010101,1.81407035175879,0.17269484975747
6.01010101010101,1.85929648241206,0.177253848193876
6.01010101010101,1.90452261306533,0.182277354356727
6.01010101010101,1.94974874371859,0.187802896107362
6.01010101010101,1.99497487437186,0.193873131556912
6.01010101010101,2.04020100502513,0.200536499529455
6.01010101010101,2.08542713567839,0.207847995264748
6.01010101010101,2.13065326633166,0.215870093643925
6.01010101010101,2.17587939698492,0.224673847753415
6.01010101010101,2.22110552763819,0.234340197465003
6.01010101010101,2.26633165829146,0.244961531309471
6.01010101010101,2.31155778894472,0.2566435557959
6.01010101010101,2.35678391959799,0.269507540186202
6.01010101010101,2.40201005025126,0.283693022530186
6.01010101010101,2.44723618090452,0.299361085783319
6.01010101010101,2.49246231155779,0.316698342822331
6.01010101010101,2.53768844221106,0.335921808551338
6.01010101010101,2.58291457286432,0.357284889395684
6.01010101010101,2.62814070351759,0.381084789990619
6.01010101010101,2.67336683417085,0.407671730403962
6.01010101010101,2.71859296482412,0.437460494236926
6.01010101010101,2.76381909547739,0.470945002075227
6.01010101010101,2.80904522613065,0.508716845964997
6.01010101010101,2.85427135678392,0.551489058378404
6.01010101010101,2.89949748743719,0.600126867773496
6.01010101010101,2.94472361809045,0.655687879650842
6.01010101010101,2.98994974874372,0.719475120920306
6.01010101010101,3.03517587939699,0.793107859617533
6.01010101010101,3.08040201005025,0.87861732236226
6.01010101010101,3.12562814070352,0.978577803368884
6.01010101010101,3.17085427135678,1.09628889825468
6.01010101010101,3.21608040201005,1.23603290676591
6.01010101010101,3.26130653266332,1.40344493136292
6.01010101010101,3.30653266331658,1.60605562250609
6.01010101010101,3.35175879396985,1.85410485984945
6.01010101010101,3.39698492462312,2.16179226068412
6.01010101010101,3.44221105527638,2.5492538235634
6.01010101010101,3.48743718592965,3.0457883854844
6.01010101010101,3.53266331658291,3.69532318906392
6.01010101010101,3.57788944723618,4.56608248260474
6.01010101010101,3.62311557788945,5.76859194340323
6.01010101010101,3.66834170854271,7.49134299477111
6.01010101010101,3.71356783919598,10.0770150983492
6.01010101010101,3.75879396984925,14.2017688429774
6.01010101010101,3.80402010050251,21.3532387012534
6.01010101010101,3.84924623115578,35.3432760762635
6.01010101010101,3.89447236180905,68.468700752854
6.01010101010101,3.93969849246231,179.5650747638
6.01010101010101,3.98492462311558,1008.4167733176
6.01010101010101,4.03015075376884,1461.60643916626
6.01010101010101,4.07537688442211,223.988847158417
6.01010101010101,4.12060301507538,82.2398320425508
6.01010101010101,4.16582914572864,42.3598429569807
6.01010101010101,4.21105527638191,25.8675526554743
6.01010101010101,4.25628140703518,17.4890546174066
6.01010101010101,4.30150753768844,12.6503524180252
6.01010101010101,4.34673366834171,9.59981393038435
6.01010101010101,4.39195979899498,7.5498335999215
6.01010101010101,4.43718592964824,6.10364958474481
6.01010101010101,4.48241206030151,5.04367841371746
6.01010101010101,4.52763819095477,4.24246718072992
6.01010101010101,4.57286432160804,3.6213219714699
6.01010101010101,4.61809045226131,3.12952035914892
6.01010101010101,4.66331658291457,2.73318126656681
6.01010101010101,4.70854271356784,2.4089831906711
6.01010101010101,4.75376884422111,2.140457455802
6.01010101010101,4.79899497487437,1.91571574164514
6.01010101010101,4.84422110552764,1.72600973780425
6.01010101010101,4.8894472361809,1.56479097168973
6.01010101010101,4.93467336683417,1.42708080447581
6.01010101010101,4.97989949748744,1.30903823059464
6.01010101010101,5.0251256281407,1.20765711460433
6.01010101010101,5.07035175879397,1.12055021990973
6.01010101010101,5.11557788944724,1.04579282875425
6.01010101010101,5.1608040201005,0.981808237572246
6.01010101010101,5.20603015075377,0.927283340407756
6.01010101010101,5.25125628140704,0.88110626849386
6.01010101010101,5.2964824120603,0.842320457679126
6.01010101010101,5.34170854271357,0.810091071025257
6.01010101010101,5.38693467336683,0.783680729244983
6.01010101010101,5.4321608040201,0.762432200209555
6.01010101010101,5.47738693467337,0.745756200369787
6.01010101010101,5.52261306532663,0.733122845772519
6.01010101010101,5.5678391959799,0.724055604626946
6.01010101010101,5.61306532663317,0.718126870666842
6.01010101010101,5.65829145728643,0.71495450654647
6.01010101010101,5.7035175879397,0.714198901641914
6.01010101010101,5.74874371859296,0.71556024879712
6.01010101010101,5.79396984924623,0.718775869935136
6.01010101010101,5.8391959798995,0.723617512856951
6.01010101010101,5.88442211055276,0.729888604549991
