"L [mm]","Freq [GHz]","re(Z(1,1)) []"
2,1,0.220930020021548
2,1.04522613065327,0.215588374242825
2,1.09045226130653,0.210934222434467
2,1.1356783919598,0.20686187202014
2,1.18090452261307,0.20328548331976
2,1.22613065326633,0.200134759617576
2,1.2713567839196,0.197351690710246
2,1.31658291457286,0.194888065603506
2,1.36180904522613,0.192703553533911
2,1.4070351758794,0.190764209612159
2,1.45226130653266,0.189041301006998
2,1.49748743718593,0.187510377434187
2,1.5427135678392,0.18615052952283
2,1.58793969849246,0.184943792880995
2,1.63316582914573,0.183874666044239
2,1.67839195979899,0.182929718098199
2,1.72361809045226,0.182097267406202
2,1.76884422110553,0.181367117089134
2,1.81407035175879,0.180730336083789
2,1.85929648241206,0.180179077021269
2,1.90452261306533,0.179706424016192
2,1.94974874371859,0.179306264882245
2,1.99497487437186,0.178973183395966
2,2.04020100502513,0.178702368093729
2,2.08542713567839,0.178489534765729
2,2.13065326633166,0.178330860346338
2,2.17587939698492,0.178222926326166
2,2.22110552763819,0.178162670151134
2,2.26633165829146,0.17814734334658
2,2.31155778894472,0.178174475324413
2,2.35678391959799,0.178241842009694
2,2.40201005025126,0.178347438567758
2,2.44723618090452,0.178489455631445
2,2.49246231155779,0.178666258525419
2,2.53768844221106,0.178876369064089
2,2.58291457286432,0.179118449566155
2,2.62814070351759,0.179391288783393
2,2.67336683417085,0.179693789487059
2,2.71859296482412,0.18002495749325
2,2.76381909547739,0.180383891940689
2,2.80904522613065,0.18076977666108
2,2.85427135678392,0.181181872504735
2,2.89949748743719,0.18161951050359
2,2.94472361809045,0.182082085769461
2,2.98994974874372,0.182569052039645
2,3.03517587939699,0.183079916793332
2,3.08040201005025,0.183614236872529
2,3.12562814070352,0.184171614549651
2,3.17085427135678,0.184751693991494
2,3.21608040201005,0.185354158075328
2,3.26130653266332,0.185978725518699
2,3.30653266331658,0.186625148288923
2,3.35175879396985,0.187293209262487
2,3.39698492462312,0.187982720108298
2,3.44221105527638,0.18869351937131
2,3.48743718592965,0.189425470736446
2,3.53266331658291,0.190178461454322
2,3.57788944723618,0.190952400913066
2,3.62311557788945,0.191747219341738
2,3.66834170854271,0.192562866632754
2,3.71356783919598,0.193399311272001
2,3.75879396984925,0.194256539366659
2,3.80402010050251,0.195134553761584
2,3.84924623115578,0.196033373236397
2,3.89447236180905,0.196953031775892
2,3.93969849246231,0.197893577907487
2,3.98492462311558,0.198855074099848
2,4.03015075376884,0.199837596217471
2,4.07537688442211,0.200841233026557
2,4.12060301507538,0.201866085748186
2,4.16582914572864,0.202912267654526
2,4.21105527638191,0.203979903705208
2,4.25628140703518,0.20506913022045
2,4.30150753768844,0.206180094588199
2,4.34673366834171,0.207312955002899
2,4.39195979899498,0.2084678802335
2,4.43718592964824,0.209645049418721
2,4.48241206030151,0.210844651887682
2,4.52763819095477,0.21206688700423
2,4.57286432160804,0.21331196403349
2,4.61809045226131,0.214580102029151
2,4.66331658291457,0.215871529740438
2,4.70854271356784,0.217186485537441
2,4.75376884422111,0.218525217353931
2,4.79899497487437,0.219887982646691
2,4.84422110552764,0.221275048370573
2,4.8894472361809,0.2226866909685
2,4.93467336683417,0.224123196375771
2,4.97989949748744,0.225584860038066
2,5.0251256281407,0.227071986942644
2,5.07035175879397,0.228584891662274
2,5.11557788944724,0.230123898411296
2,5.1608040201005,0.231689341113817
2,5.20603015075377,0.233281563483379
2,5.25125628140704,0.234900919113802
2,5.2964824120603,0.236547771581529
2,5.34170854271357,0.238222494558286
2,5.38693467336683,0.239925471934906
2,5.4321608040201,0.241657097955414
2,5.47738693467337,0.243417777361912
2,5.52261306532663,0.245207925549612
2,5.5678391959799,0.247027968732258
2,5.61306532663317,0.248878344118033
2,5.65829145728643,0.250759500095703
2,5.7035175879397,0.252671896431197
2,5.74874371859296,0.254616004474871
2,5.79396984924623,0.256592307378739
2,5.8391959798995,0.258601300324983
2,5.88442211055276,0.260643490764978
2,5.92964824120603,0.262719398669043
2,5.9748743718593,0.264829556787789
2,6.02010050251256,0.266974510924292
2,6.06532663316583,0.269154820217968
2,6.1105527638191,0.27137105744028
2,6.15577889447236,0.273623809302329
2,6.20100502512563,0.275913676774858
2,6.24623115577889,0.278241275420634
2,6.29145728643216,0.280607235740089
2,6.33668341708543,0.283012203529756
2,6.38190954773869,0.285456840254986
2,6.42713567839196,0.287941823435906
2,6.47236180904523,0.290467847048492
2,6.51758793969849,0.293035621940223
2,6.56281407035176,0.295645876261143
2,6.60804020100502,0.298299355910578
2,6.65326633165829,0.300996825000614
2,6.69849246231156,0.303739066336227
2,6.74371859296483,0.306526881912708
2,6.78894472361809,0.309361093431664
2,6.83417085427136,0.312242542835432
2,6.87939698492462,0.315172092860767
2,6.92462311557789,0.318150627612997
2,6.96984924623116,0.321179053160779
2,7.01507537688442,0.324258298152373
2,7.06030150753769,0.327389314454624
2,7.10552763819096,0.330573077815077
2,7.15075376884422,0.333810588548098
2,7.19597989949749,0.337102872246295
2,7.24120603015075,0.340450980518155
2,7.28643216080402,0.343855991752391
2,7.33165829145729,0.347319011910922
2,7.37688442211055,0.350841175350846
2,7.42211055276382,0.354423645677252
2,7.46733668341709,0.358067616627554
2,7.51256281407035,0.361774312988994
2,7.55778894472362,0.365544991550882
2,7.60301507537688,0.369380942091981
2,7.64824120603015,0.373283488406349
2,7.69346733668342,0.377253989367472
2,7.73869346733668,0.381293840033262
2,7.78391959798995,0.385404472793184
2,7.82914572864322,0.389587358560743
2,7.87437185929648,0.393844008010636
2,7.91959798994975,0.398175972865354
2,7.96482412060301,0.402584847231478
2,8.01005025125628,0.407072268989192
2,8.05527638190955,0.41163992123605
2,8.10050251256281,0.416289533788957
2,8.14572864321608,0.421022884745466
2,8.19095477386935,0.425841802108906
2,8.23618090452261,0.430748165478118
2,8.28140703517588,0.435743907806923
2,8.32663316582915,0.440831017234888
2,8.37185929648241,0.446011538993905
2,8.41708542713568,0.451287577393585
2,8.46231155778895,0.456661297889374
2,8.50753768844221,0.46213492923709
2,8.55276381909548,0.467710765738707
2,8.59798994974875,0.473391169582946
2,8.64321608040201,0.479178573286607
2,8.68844221105528,0.485075482239125
2,8.73366834170854,0.491084477359285
2,8.77889447236181,0.497208217865275
2,8.82412060301507,0.503449444167979
2,8.86934673366834,0.509810980890074
2,8.91457286432161,0.516295740020222
2,8.95979899497488,0.522906724207523
2,9.00502512562814,0.529647030203474
2,9.05025125628141,0.536519852461179
2,9.09547738693467,0.543528486896704
2,9.14070351758794,0.550676334823853
2,9.18592964824121,0.557966907070508
2,9.23115577889447,0.565403828286107
2,9.27638190954774,0.572990841450668
2,9.321608040201,0.580731812596581
2,9.36683417085427,0.588630735754536
2,9.41206030150754,0.596691738135187
2,9.4572864321608,0.604919085561379
2,9.50251256281407,0.613317188163187
2,9.54773869346734,0.621890606350733
2,9.5929648241206,0.630644057082129
2,9.63819095477387,0.639582420440241
2,9.68341708542714,0.648710746540268
2,9.7286432160804,0.658034262782558
2,9.77386934673367,0.667558381474201
2,9.81909547738693,0.677288707840691
2,9.8643216080402,0.687231048447869
2,9.90954773869347,0.697391420062725
2,9.95477386934673,0.707776058976304
2,10,0.718391430818402
2.48484848484848,1,0.204639678907011
2.48484848484848,1.04522613065327,0.200490949651482
2.48484848484848,1.09045226130653,0.196895916617122
2.48484848484848,1.1356783919598,0.19377034299625
2.48484848484848,1.18090452261307,0.19104582859694
2.48484848484848,1.22613065326633,0.188666372454121
2.48484848484848,1.2713567839196,0.186585775654567
2.48484848484848,1.31658291457286,0.18476565760473
2.48484848484848,1.36180904522613,0.183173925573
2.48484848484848,1.4070351758794,0.181783582894399
2.48484848484848,1.45226130653266,0.18057179282702
2.48484848484848,1.49748743718593,0.179519137258068
2.48484848484848,1.5427135678392,0.178609025254962
2.48484848484848,1.58793969849246,0.177827217822385
2.48484848484848,1.63316582914573,0.177161443489537
2.48484848484848,1.67839195979899,0.176601085419987
2.48484848484848,1.72361809045226,0.176136925234175
2.48484848484848,1.76884422110553,0.175760932097384
2.48484848484848,1.81407035175879,0.175466088161664
2.48484848484848,1.85929648241206,0.175246243376342
2.48484848484848,1.90452261306533,0.175095994156631
2.48484848484848,1.94974874371859,0.175010581536391
2.48484848484848,1.99497487437186,0.174985805313056
2.48484848484848,2.04020100502513,0.175017951381743
2.48484848484848,2.08542713567839,0.175103729996203
2.48484848484848,2.13065326633166,0.175240223122158
2.48484848484848,2.17587939698492,0.175424839387756
2.48484848484848,2.22110552763819,0.175655275407337
2.48484848484848,2.26633165829146,0.175929482472069
2.48484848484848,2.31155778894472,0.176245637776601
2.48484848484848,2.35678391959799,0.176602119492997
2.48484848484848,2.40201005025126,0.176997485118654
2.48484848484848,2.44723618090452,0.177430452619717
2.48484848484848,2.49246231155779,0.177899883968571
2.48484848484848,2.53768844221106,0.178404770738118
2.48484848484848,2.58291457286432,0.178944221468122
2.48484848484848,2.62814070351759,0.179517450562579
2.48484848484848,2.67336683417085,0.180123768513722
2.48484848484848,2.71859296482412,0.180762573278357
2.48484848484848,2.76381909547739,0.18143334265792
2.48484848484848,2.80904522613065,0.18213562755503
2.48484848484848,2.85427135678392,0.182869045997132
2.48484848484848,2.89949748743719,0.183633277833461
2.48484848484848,2.94472361809045,0.184428060024097
2.48484848484848,2.98994974874372,0.185253182451188
2.48484848484848,3.03517587939699,0.186108484191501
2.48484848484848,3.08040201005025,0.186993850197749
2.48484848484848,3.12562814070352,0.187909208342758
2.48484848484848,3.17085427135678,0.188854526786665
2.48484848484848,3.21608040201005,0.189829811632007
2.48484848484848,3.26130653266332,0.190835104836573
2.48484848484848,3.30653266331658,0.191870482356956
2.48484848484848,3.35175879396985,0.192936052499541
2.48484848484848,3.39698492462312,0.194031954458369
2.48484848484848,3.44221105527638,0.195158357021553
2.48484848484848,3.48743718592965,0.196315457430593
2.48484848484848,3.53266331658291,0.197503480378185
2.48484848484848,3.57788944723618,0.198722677132407
2.48484848484848,3.62311557788945,0.199973324776187
2.48484848484848,3.66834170854271,0.201255725552334
2.48484848484848,3.71356783919598,0.202570206305737
2.48484848484848,3.75879396984925,0.203917118015034
2.48484848484848,3.80402010050251,0.205296835407094
2.48484848484848,3.84924623115578,0.2067097566486
2.48484848484848,3.89447236180905,0.208156303109272
2.48484848484848,3.93969849246231,0.209636919192429
2.48484848484848,3.98492462311558,0.21115207222864
2.48484848484848,4.03015075376884,0.212702252429204
2.48484848484848,4.07537688442211,0.214287972896216
2.48484848484848,4.12060301507538,0.215909769686582
2.48484848484848,4.16582914572864,0.217568201927869
2.48484848484848,4.21105527638191,0.219263851983805
2.48484848484848,4.25628140703518,0.220997325667948
2.48484848484848,4.30150753768844,0.222769252504097
2.48484848484848,4.34673366834171,0.224580286032428
2.48484848484848,4.39195979899498,0.226431104160265
2.48484848484848,4.43718592964824,0.228322409557148
2.48484848484848,4.48241206030151,0.230254930093483
2.48484848484848,4.52763819095477,0.232229419322784
2.48484848484848,4.57286432160804,0.234246657007189
2.48484848484848,4.61809045226131,0.236307449686602
2.48484848484848,4.66331658291457,0.238412631291603
2.48484848484848,4.70854271356784,0.24056306380064
2.48484848484848,4.75376884422111,0.242759637942082
2.48484848484848,4.79899497487437,0.245003273941973
2.48484848484848,4.84422110552764,0.247294922318275
2.48484848484848,4.8894472361809,0.249635564722743
2.48484848484848,4.93467336683417,0.252026214831773
2.48484848484848,4.97989949748744,0.254467919287239
2.48484848484848,5.0251256281407,0.256961758689352
2.48484848484848,5.07035175879397,0.259508848642633
2.48484848484848,5.11557788944724,0.262110340857474
2.48484848484848,5.1608040201005,0.264767424308599
2.48484848484848,5.20603015075377,0.26748132645324
2.48484848484848,5.25125628140704,0.270253314510862
2.48484848484848,5.2964824120603,0.273084696807233
2.48484848484848,5.34170854271357,0.275976824185458
