L,Freq,re,h,L2,max_re,Maior_que_anterior,Pico_re,Diferenca_fr_calculado_simulado
10,8.05628140703518,180.561952195167,0.479,[10],180.561952195167,True,True,0.5979814093307994
11,7.49798994974874,129.506189201646,0.5268999999999999,[11],129.506189201646,True,True,0.36952170149305985
12,6.88894472361809,128.509423014005,0.5748,[12],128.509423014005,True,True,0.3229409566868915
13,6.53366834170854,105.937661524374,0.6227,[13],105.937661524374,True,True,0.12345690164990586
14,6.07688442211055,95.3974888356622,0.6706,[14],95.3974888356622,True,True,0.10473187529372119
15,5.67085427135678,98.3660699477806,0.7184999999999999,[15],98.3660699477806,True,True,0.09865427288720596
16,5.31557788944724,103.319383926283,0.7664,[16],103.319383926283,True,True,0.09333637078149692
17,5.01105527638191,97.9992158325949,0.8143,[17],97.9992158325949,True,True,0.07968755677454809
18,4.70653266331658,111.896854400313,0.8622,[18],111.896854400313,True,True,0.10139112355340885
19,4.45276381909548,107.080358959208,0.9101,[19],107.080358959208,True,True,0.10211134741293026
20,4.24974874371859,109.537892780614,0.958,[20],109.537892780614,True,True,0.07738266446439912
21,4.04673366834171,97.4472249145604,1.0059,[21],97.4472249145604,True,True,0.07434386326113707
22,3.89447236180905,104.076457639341,1.0537999999999998,[22],104.076457639341,True,True,0.03928346381184955
23,3.69145728643216,100.242087611488,1.1017,[23],100.242087611488,True,True,0.07126567720522248
24,3.5391959798995,83.9729774881958,1.1496,[24],83.9729774881958,True,True,0.06674686025299081
25,3.43768844221106,76.9057692265501,1.1975,[25],76.9057692265501,True,True,0.02401668433533155
26,3.28542713567839,85.5490874732817,1.2454,[26],85.5490874732817,True,True,0.043135486000832834
27,3.13316582914573,83.1966772177552,1.2933,[27],83.1966772177552,True,True,0.07211669543426247
28,3.03165829145729,90.1110229295215,1.3412,[28],90.1110229295215,True,True,0.05914985724484545
29,2.93015075376884,81.9465897455807,1.3891,[29],81.9465897455807,True,True,0.05407780359873904
30,2.8286432160804,76.8609200790971,1.4369999999999998,[30],76.8609200790971,True,True,0.056111056041593166
31,2.72713567839196,87.3142704155296,1.4849,[31],87.3142704155296,True,True,0.06456200430674341
32,2.67638190954774,95.2940632973617,1.5328,[32],95.2940632973617,True,True,0.028075220566628367
33,2.5748743718593,80.0566460943135,1.5807,[33],80.0566460943135,True,True,0.04762951188796638
34,2.52412060301508,82.3493913265616,1.6286,[34],82.3493913265616,True,True,0.021250813563149062
35,2.42261306532663,102.301871898513,1.6765,[35],102.301871898513,True,True,0.05003345363507794
36,2.37185929648241,99.8777883193817,1.7244,[36],99.8777883193817,True,True,0.03210259695258433
37,2.32110552763819,69.954349741709,1.7723,[37],69.954349741709,True,True,0.01788442273099422
38,2.27035175879397,58.3659307367571,1.8202,[38],58.3659307367571,True,True,0.007085824460235202
39,2.16884422110553,60.8784017316936,1.8681,[39],60.8784017316936,True,True,0.0501975266806185
40,2.11809045226131,96.5980425456334,1.916,[40],96.5980425456334,True,True,0.045475251830184416
