L,Freq,re,h,L2,max_re,Maior_que_anterior,Pico_re,Diferenca_fr_calculado_simulado
10,9.73115577889447,428.707557012416,0.479,[10],428.707557012416,True,True,0.3748459186613946
11,9.22361809045226,964.898311281224,0.5268999999999999,[11],964.898311281224,True,True,0.03634381994693037
12,8.81758793969849,1093.230866195,0.5748,[12],1093.230866195,True,True,0.3959198584019372
13,8.46231155778895,1073.16092331918,0.6227,[13],1073.16092331918,True,True,0.6884640981305941
14,6.58442211055276,46.1631684177799,0.6706,[14],46.1631684177799,True,True,0.6341505305585713
15,6.178391959799,42.8244025402209,0.7184999999999999,[15],42.8244025402209,True,True,0.5589425052382433
16,5.82311557788945,39.2320447815751,0.7664,[16],39.2320447815751,True,True,0.4931354830829644
17,5.51859296482412,33.2822077569588,0.8143,[17],33.2822077569588,True,True,0.4261139160910936
18,5.21407035175879,42.2129065866416,0.8622,[18],42.2129065866416,True,True,0.40037503577224687
19,4.96030150753769,41.6404662937909,0.9101,[19],41.6404662937909,True,True,0.358646754333817
20,4.7572864321608,33.7673813057316,0.958,[20],33.7673813057316,True,True,0.29571441661713216
21,4.55427135678392,31.4616863831809,1.0059,[21],31.4616863831809,True,True,0.2581104039569668
22,4.35125628140704,33.1858805427741,1.0537999999999998,[22],33.1858805427741,True,True,0.24238085384562513
23,4.09748743718593,42.6477839596243,1.1017,[23],42.6477839596243,True,True,0.2964263443600972
24,3.99597989949749,33.1365249533909,1.1496,[24],33.1365249533909,True,True,0.21485414115078605
25,3.84371859296482,35.7424684232306,1.1975,[25],35.7424684232306,True,True,0.1986820860575249
26,3.69145728643216,30.8584170203097,1.2454,[26],30.8584170203097,True,True,0.19546644339701835
27,3.58994974874372,35.8774241864156,1.2933,[27],35.8774241864156,True,True,0.15301384294363674
28,3.43768844221106,31.7771301888706,1.3412,[28],31.7771301888706,True,True,0.17159787834460571
29,3.33618090452261,39.630350491364,1.3891,[29],39.630350491364,True,True,0.14864726704837716
30,3.23467336683417,36.1248352424523,1.4369999999999998,[30],36.1248352424523,True,True,0.13399386568445149
31,3.13316582914573,32.5600175228336,1.4849,[31],32.5600175228336,True,True,0.12683471845293592
32,3.03165829145729,45.9325502705837,1.5328,[32],45.9325502705837,True,True,0.126467239028917
33,2.98090452261307,25.5586529160698,1.5807,[33],25.5586529160698,True,True,0.0815202342220398
34,2.87939698492462,35.0978429062545,1.6286,[34],35.0978429062545,True,True,0.09295645553298693
35,2.77788944723618,28.3030341182617,1.6765,[35],28.3030341182617,True,True,0.1095396092083516
36,2.72713567839196,28.7731857776377,1.7244,[36],28.7731857776377,True,True,0.08008701537355822
37,2.62562814070352,33.2765743925654,1.7723,[37],33.2765743925654,True,True,0.10572366944671385
38,2.5748743718593,31.5221377373017,1.8202,[38],31.5221377373017,True,True,0.08459975907645356
39,2.52412060301508,28.5148233254832,1.8681,[39],28.5148233254832,True,True,0.06716188353770569
40,2.47336683417085,21.6595389585425,1.916,[40],21.6595389585425,True,True,0.053133590218116034
