"L [mm]","Freq [GHz]","re(Z(1,1)) []"
10,0.9,0.192086288425172
10,0.950753768844221,0.194824884918724
10,1.00150753768844,0.19819806347274
10,1.05226130653266,0.202202153133507
10,1.10301507537688,0.20684816128601
10,1.15376884422111,0.212160147461538
10,1.20452261306533,0.218174453830616
10,1.25527638190955,0.224939603958369
10,1.30603015075377,0.232516766253257
10,1.35678391959799,0.240980737991005
10,1.40753768844221,0.250421451540589
10,1.45829145728643,0.260946044011476
10,1.50904522613065,0.272681570429602
10,1.55979899497487,0.285778483318625
10,1.6105527638191,0.300415052809529
10,1.66130653266332,0.316802966487046
10,1.71206030150754,0.335194434060382
10,1.76281407035176,0.355891238231511
10,1.81356783919598,0.37925633364708
10,1.8643216080402,0.405728820933836
10,1.91507537688442,0.435843443175655
10,1.96582914572864,0.470256214694165
10,2.01658291457286,0.509778469673371
10,2.06733668341709,0.555422626786315
10,2.11809045226131,0.608464492537764
10,2.16884422110553,0.670529278832345
10,2.21959798994975,0.743712208969049
10,2.27035175879397,0.830750528228801
10,2.32110552763819,0.935273511875996
10,2.37185929648241,1.0621735811705
10,2.42261306532663,1.21817038120875
10,2.47336683417085,1.41269137703138
10,2.52412060301508,1.65928907822855
10,2.5748743718593,1.97800319452795
10,2.62562814070352,2.39946136684457
10,2.67638190954774,2.9723478587525
10,2.72713567839196,3.77780987155088
10,2.77788944723618,4.95926081720588
10,2.8286432160804,6.78967272352443
10,2.87939698492462,9.84165959086519
10,2.93015075376884,15.4878873538691
10,2.98090452261307,27.7318017843305
10,3.03165829145729,62.6821173704721
10,3.08241206030151,245.314589611875
10,3.13316582914573,4520.14102736248
10,3.18391959798995,241.14864764431
10,3.23467336683417,64.1896226618164
10,3.28542713567839,29.2309830831904
10,3.33618090452261,16.7501141387653
10,3.38693467336683,10.907867193792
10,3.43768844221106,7.70851068656548
10,3.48844221105528,5.76706528461554
10,3.5391959798995,4.50059537107736
10,3.58994974874372,3.62904034113808
10,3.64070351758794,3.00425011114378
10,3.69145728643216,2.54190318903226
10,3.74221105527638,2.19118276412769
10,3.7929648241206,1.92004847905
10,3.84371859296482,1.70757477113068
10,3.89447236180905,1.53974179227933
10,3.94522613065327,1.40702538933735
10,3.99597989949749,1.30298274773863
10,4.04673366834171,1.22342756506194
10,4.09748743718593,1.16599012115162
10,4.14824120603015,1.12997404480985
10,4.19899497487437,1.11650907075503
10,4.24974874371859,1.12909962827343
10,4.30050251256282,1.17484144630517
10,4.35125628140704,1.26695288817037
10,4.40201005025126,1.4302036493532
10,4.45276381909548,1.71345666137613
10,4.5035175879397,2.22201297145029
10,4.55427135678392,3.21485510394251
10,4.60502512562814,5.46919637832805
10,4.65577889447236,12.2068918278473
10,4.70653266331658,47.2452577744477
10,4.7572864321608,144.193075997347
10,4.80804020100503,25.9481963234758
10,4.85879396984925,9.10196644610636
10,4.90954773869347,4.71754413845094
10,4.96030150753769,2.98134071540622
10,5.01105527638191,2.11974961761393
10,5.06180904522613,1.62819714535638
10,5.11256281407035,1.31995626092782
10,5.16331658291457,1.11305023491302
10,5.21407035175879,0.966890051658497
10,5.26482412060301,0.859498132621217
10,5.31557788944724,0.778121347020408
10,5.36633165829146,0.714939644573392
10,5.41708542713568,0.664937593707624
10,5.4678391959799,0.62477680589578
10,5.51859296482412,0.592165204002818
10,5.56934673366834,0.56548773184273
10,5.62010050251256,0.54358158419906
10,5.67085427135678,0.52559477768676
10,5.721608040201,0.510894586575457
10,5.77236180904523,0.499006803944669
10,5.82311557788945,0.489574628574644
10,5.87386934673367,0.482330394347641
10,5.92462311557789,0.477075929998994
10,5.97537688442211,0.473668880127732
10,6.02613065326633,0.472013272225313
10,6.07688442211055,0.472053222680723
10,6.12763819095477,0.473769077012446
10,6.178391959799,0.477175559092897
10,6.22914572864322,0.482321712734511
10,6.27989949748744,0.489292591535565
10,6.33065326633166,0.498212815730029
10,6.38140703517588,0.509252291821537
10,6.4321608040201,0.52263460840931
10,6.48291457286432,0.538648914493575
10,6.53366834170854,0.557666505620898
10,6.58442211055276,0.580163968694399
10,6.63517587939698,0.606755700011577
10,6.68592964824121,0.638240137323288
10,6.73668341708543,0.675666528172927
10,6.78743718592965,0.720433202474143
10,6.83819095477387,0.774435449067291
10,6.88894472361809,0.840293767248623
10,6.93969849246231,0.921716606754163
10,6.99045226130653,1.02409650952821
10,7.04120603015075,1.15552868400873
10,7.09195979899498,1.32863246952115
10,7.1427135678392,1.5639896730708
10,7.19346733668342,1.89707364775273
10,7.24422110552764,2.39338753099081
10,7.29497487437186,3.18510855100391
10,7.34572864321608,4.57261595264693
10,7.3964824120603,7.36366095023085
10,7.44723618090452,14.3714027152153
10,7.49798994974874,40.9576698787244
10,7.54874371859297,252.17458930689
10,7.59949748743719,99.7429981929419
10,7.65025125628141,24.2194344363477
10,7.70100502512563,10.7954396264891
10,7.75175879396985,6.42947475660348
10,7.80251256281407,4.54959336136214
10,7.85326633165829,3.6237766596376
10,7.90402010050251,3.15216813752077
10,7.95477386934673,2.93725860070615
10,8.00552763819096,2.89360504255671
10,8.05628140703518,2.98636905437026
10,8.1070351758794,3.20952400593324
10,8.15778894472362,3.57970546950026
10,8.20854271356784,4.13928173589513
10,8.25929648241206,4.96950622098964
10,8.31005025125628,6.22188595470199
10,8.3608040201005,8.19196720465776
10,8.41155778894472,11.5090753090697
10,8.46231155778895,17.7006415673566
10,8.51306532663317,31.2666164936034
10,8.56381909547739,70.1901077751969
10,8.61457286432161,251.938713271646
10,8.66532663316583,661.371508265291
10,8.71608040201005,149.845715862005
10,8.76683417085427,54.7641929651072
10,8.81758793969849,29.8219428658178
10,8.86834170854271,20.8802975166381
10,8.91909547738694,17.9712391902064
10,8.96984924623115,19.0299123395879
10,9.02060301507538,25.609628887276
10,9.0713567839196,47.6332006723073
10,9.12211055276382,153.628092471428
10,9.17286432160804,528.394958303684
10,9.22361809045226,103.57345078796
10,9.27437185929648,35.0264056862488
10,9.32512562814071,18.5132035636285
10,9.37587939698492,12.7459243847506
10,9.42663316582915,10.8186635846067
10,9.47738693467337,11.294685234894
10,9.52814070351759,14.906635966839
10,9.57889447236181,26.5094162643284
10,9.62964824120603,74.8412613404245
10,9.68040201005025,375.663481427437
10,9.73115577889447,125.246710557306
10,9.78190954773869,36.1577923383192
10,9.83266331658291,17.0560651905727
10,9.88341708542714,10.2103985466445
10,9.93417085427136,6.98402867468694
10,9.98492462311558,5.19336013844318
10,10.0356783919598,4.08644006292652
10,10.086432160804,3.34823059248695
10,10.1371859296482,2.82757606747913
10,10.1879396984925,2.44435767383879
10,10.2386934673367,2.15274133681799
10,10.2894472361809,1.92487589285644
10,10.3402010050251,1.74299133334978
10,10.3909547738693,1.5952859113542
10,10.4417085427136,1.4736564350131
10,10.4924623115578,1.37238305970547
10,10.543216080402,1.28733510524754
10,10.5939698492462,1.21547442124119
10,10.6447236180905,1.15453550675711
10,10.6954773869347,1.10281437884974
10,10.7462311557789,1.05902653461408
10,10.7969849246231,1.02221017859007
10,10.8477386934673,0.991660038776396
10,10.8984924623116,0.966882563189206
10,10.9492462311558,0.947566665645793
10,11,0.933566350162165
11,0.9,0.185554658398329
11,0.950753768844221,0.190461198966819
11,1.00150753768844,0.195911232189469
11,1.05226130653266,0.201964276759558
11,1.10301507537688,0.208689562565792
11,1.15376884422111,0.216167685702991
11,1.20452261306533,0.224492666106946
11,1.25527638190955,0.233774501641206
11,1.30603015075377,0.244142344725996
11,1.35678391959799,0.255748469598708
11,1.40753768844221,0.26877325446921
11,1.45829145728643,0.283431479347265
11,1.50904522613065,0.299980346053495
11,1.55979899497487,0.318729774950182
11,1.6105527638191,0.340055742823312
11,1.66130653266332,0.364417727916709
11,1.71206030150754,0.392381767470185
11,1.76281407035176,0.424651282792291
11,1.81356783919598,0.462108803138784
11,1.8643216080402,0.505873212385793
11,1.91507537688442,0.557379468649885
11,1.96582914572864,0.618491448071925
11,2.01658291457286,0.691664588747798
11,2.06733668341709,0.780185069216309
11,2.11809045226131,0.888529527270398
11,2.16884422110553,1.02291992917414
11,2.21959798994975,1.19220438641235
11,2.27035175879397,1.40930211315017
11,2.32110552763819,1.69366570707071
11,2.37185929648241,2.07566802386278
11,2.42261306532663,2.60484244186988
11,2.47336683417085,3.36638322435543
11,2.52412060301508,4.5169017643966
11,2.5748743718593,6.37009058750021
11,2.62562814070352,9.63100486593373
11,2.67638190954774,16.1663514964135
11,2.72713567839196,32.349707093737
11,2.77788944723618,92.751164392856
11,2.8286432160804,843.714857452939
11,2.87939698492462,560.913941468854
11,2.93015075376884,82.1318886149381
11,2.98090452261307,31.3401681660572
11,3.03165829145729,16.5377869995919
11,3.08241206030151,10.279289356618
11,3.13316582914573,7.05623464643353
11,3.18391959798995,5.17956137994692
11,3.23467336683417,3.99148784176141
11,3.28542713567839,3.19263927408848
11,3.33618090452261,2.63088802844948
11,3.38693467336683,2.22234119649055
11,3.43768844221106,1.91776584483028
11,3.48844221105528,1.68688247056259
11,3.5391959798995,1.51045498887828
11,3.58994974874372,1.37608672741587
11,3.64070351758794,1.27592291148607
11,3.69145728643216,1.20542917633378
11,3.74221105527638,1.16287487273662
11,3.7929648241206,1.14941806588785
11,3.84371859296482,1.16993096131768
11,3.89447236180905,1.23508500177126
11,3.94522613065327,1.3660798743576
11,3.99597989949749,1.60579189911076
11,4.04673366834171,2.04783377353516
11,4.09748743718593,2.9248290710543
11,4.14824120603015,4.94454698835243
11,4.19899497487437,11.1224813048327
11,4.24974874371859,45.7446895218886
11,4.30050251256282,140.642927713333
11,4.35125628140704,21.9652391993307
11,4.40201005025126,7.70154274552398
11,4.45276381909548,4.01379292034932
11,4.5035175879397,2.55122068057352
11,4.55427135678392,1.82388766640868
11,4.60502512562814,1.40811184581809
11,4.65577889447236,1.1469355674871
11,4.70653266331658,0.971371845563393
11,4.7572864321608,0.847228677026735
11,4.80804020100503,0.75597676335494
11,4.85879396984925,0.686856993829419
11,4.90954773869347,0.633269332310777
11,4.96030150753769,0.590980534284833
11,5.01105527638191,0.557174167183233
11,5.06180904522613,0.52991904363877
11,5.11256281407035,0.507857975691587
11,5.16331658291457,0.490018413119428
11,5.21407035175879,0.475693442783415
11,5.26482412060301,0.464364957540273
11,5.31557788944724,0.455652971010254
11,5.36633165829146,0.44928167090525
11,5.41708542713568,0.445056539811243
11,5.4678391959799,0.44284905876901
11,5.51859296482412,0.442586836423793
11,5.56934673366834,0.444247848083397
11,5.62010050251256,0.447858035304634
11,5.67085427135678,0.45349193359184
11,5.721608040201,0.461276346363771
11,5.77236180904523,0.471397431760694
11,5.82311557788945,0.484111977850643
11,5.87386934673367,0.499764188965088
11,5.92462311557789,0.518810105250881
11,5.97537688442211,0.541853014339334
11,6.02613065326633,0.569695207982367
11,6.07688442211055,0.603414763076858
11,6.12763819095477,0.644481761049664
11,6.178391959799,0.694938588835405
11,6.22914572864322,0.757687907320652
11,6.27989949748744,0.836968458341624
11,6.33065326633166,0.939173023298432
11,6.38140703517588,1.07432172553898
11,6.4321608040201,1.25886746865231
11,6.48291457286432,1.52141061868322
11,6.53366834170854,1.91535492663956
11,6.58442211055276,2.55009271856408
11,6.63517587939698,3.67954258252064
11,6.68592964824121,6.00876438648924
11,6.73668341708543,12.1315784253508
11,6.78743718592965,37.9761442197642
11,6.83819095477387,287.791015384446
11,6.88894472361809,62.6859473628183
11,6.93969849246231,16.5040211532588
11,6.99045226130653,7.80043790763792
11,7.04120603015075,4.87468791541479
11,7.09195979899498,3.61048087897998
11,7.1427135678392,3.00950295344449
11,7.19346733668342,2.74051793401873
11,7.24422110552764,2.67508896541727
11,7.29497487437186,2.76436811942221
11,7.34572864321608,3.00075917547256
11,7.3964824120603,3.40845753285828
11,7.44723618090452,4.05021335092023
11,7.49798994974874,5.05395599985256
11,7.54874371859297,6.6822631505905
11,7.59949748743719,9.52290708596798
11,7.65025125628141,15.1005328254
11,7.70100502512563,28.3957669863253
11,7.75175879396985,73.3549263547495
11,7.80251256281407,363.331750166215
11,7.85326633165829,315.815108682484
11,7.90402010050251,71.3201048222811
11,7.95477386934673,31.3872590535406
11,8.00552763819096,20.0733920638858
11,8.05628140703518,16.9111633350615
11,8.1070351758794,18.4541748188718
11,8.15778894472362,26.7921275906669
11,8.20854271356784,57.2389484702268
11,8.25929648241206,248.38273287545
11,8.31005025125628,394.546967668763
11,8.3608040201005,71.227856691109
11,8.41155778894472,28.1235431844485
11,8.46231155778895,16.7705338677042
11,8.51306532663317,12.3657831757018
11,8.56381909547739,11.8781200412992
11,8.61457286432161,15.1456856511918
11,8.66532663316583,27.8736787916142
11,8.71608040201005,93.6215198627641
11,8.76683417085427,411.260984649164
11,8.81758793969849,72.6279390344543
11,8.86834170854271,23.9580239344199
11,8.91909547738694,12.1896549857516
11,8.96984924623115,7.63758504704319
11,9.02060301507538,5.38603974312789
11,9.0713567839196,4.09344615442708
11,9.12211055276382,3.2739875898229
11,9.17286432160804,2.71670694101673
11,9.22361809045226,2.31759028964643
11,9.27437185929648,2.02029213650118
11,9.32512562814071,1.79199325247715
11,9.37587939698492,1.61244582764793
11,9.42663316582915,1.46856282064441
11,9.47738693467337,1.35155648780392
11,9.52814070351759,1.25533741415919
11,9.57889447236181,1.17557566323656
11,9.62964824120603,1.10912802614163
11,9.68040201005025,1.05367689979504
11,9.73115577889447,1.00749645806154
11,9.78190954773869,0.969298292224904
11,9.83266331658291,0.938128576053147
11,9.88341708542714,0.913300113435664
11,9.93417085427136,0.894349371120317
11,9.98492462311558,0.88101289683753
11,10.0356783919598,0.873220565444339
11,10.086432160804,0.871105645628409
11,10.1371859296482,0.875034355011954
11,10.1879396984925,0.885661067275201
11,10.2386934673367,0.904020697750727
11,10.2894472361809,0.931678903165599
11,10.3402010050251,0.97097730624217
11,10.3909547738693,1.02544286418397
11,10.4417085427136,1.10049541875076
11,10.4924623115578,1.20472775952847
11,10.543216080402,1.35235751683864
11,10.5939698492462,1.56826771069268
11,10.6447236180905,1.89932659672512
11,10.6954773869347,2.44285052099231
11,10.7462311557789,3.42971826750086
11,10.7969849246231,5.52315547693213
11,10.8477386934673,11.2783476364097
11,10.8984924623116,36.0890449860573
11,10.9492462311558,90.1952014176414
11,11,22.7771480745144
12,0.9,0.196122244279517
12,0.950753768844221,0.202435981627761
12,1.00150753768844,0.209575310527559
12,1.05226130653266,0.217638652006116
12,1.10301507537688,0.226744560739249
12,1.15376884422111,0.237035338586194
12,1.20452261306533,0.248681796683295
12,1.25527638190955,0.26188945153307
12,1.30603015075377,0.276906566968333
12,1.35678391959799,0.294034623601578
12,1.40753768844221,0.313642034665329
12,1.45829145728643,0.336182267839318
12,1.50904522613065,0.362218031928828
12,1.55979899497487,0.392453932507732
12,1.6105527638191,0.427781133551379
12,1.66130653266332,0.469339317506923
12,1.71206030150754,0.518604012634097
12,1.76281407035176,0.577511846982149
12,1.81356783919598,0.648643732530876
12,1.8643216080402,0.735498665326692
12,1.91507537688442,0.84291310294263
12,1.96582914572864,0.977721371267291
12,2.01658291457286,1.14982907238606
12,2.06733668341709,1.3740226539181
12,2.11809045226131,1.67315279724367
12,2.16884422110553,2.08402413828877
12,2.21959798994975,2.66897318293917
12,2.27035175879397,3.54038675099148
12,2.32110552763819,4.91773057938668
12,2.37185929648241,7.27745885210687
12,2.42261306532663,11.8189146550733
12,2.47336683417085,22.3171086276266
12,2.52412060301508,56.2453109864829
12,2.5748743718593,311.595698335996
12,2.62562814070352,1417.11694936001
12,2.67638190954774,102.049215311481
12,2.72713567839196,33.3915549161795
12,2.77788944723618,16.5188124033443
12,2.8286432160804,9.9128056666461
12,2.87939698492462,6.65738863472955
12,2.93015075376884,4.81532811235186
12,2.98090452261307,3.67238570599855
12,3.03165829145729,2.91531890541278
12,3.08241206030151,2.38918465023485
12,3.13316582914573,2.01028856731092
12,3.18391959798995,1.73033799597664
12,3.23467336683417,1.52008147353034
12,3.28542713567839,1.36124205044176
12,3.33618090452261,1.2423246298239
12,3.38693467336683,1.1564055738369
12,3.43768844221106,1.10007011579486
12,3.48844221105528,1.07318224598159
12,3.5391959798995,1.07953487287908
12,3.58994974874372,1.12889964749248
12,3.64070351758794,1.24202829907871
12,3.69145728643216,1.46311876631483
12,3.74221105527638,1.89448468731429
12,3.7929648241206,2.81169533997055
12,3.84371859296482,5.16656322331575
12,3.89447236180905,14.0971318915124
12,3.94522613065327,96.8925064591728
